326,2013-04-20,Myeong-su is 12 Years Old Special - Lets Go To School~,"Kim Kwang-kyu, Kim Yoo-jung Appearance by Daisy Donovan who was reporting on Infinite Challenge for "
327,2013-04-27,Infinite Company 8th Anniversary Special - The Musical #1,
328,2013-05-04,2013 Bingo! Special,
329,2013-05-11,Korean History TV Lecture Special #1 - Idol Special,
330,2013-05-18,Korean History TV Lecture Special #2,
330,2013-05-18,Going Going Completely Gone #1,
331,2013-05-25,Going Going Completely Gone #2,
332,2013-06-01,Infinite Company 8th Anniversary - The Musical #2,
333,2013-06-08,Infinite Company 8th Anniversary - The Musical #3,
333,2013-06-08,Minority Report #1,
334,2013-06-15,Minority Report #2,
334,2013-06-15,Hey! Where Are We Going??? #1,
335,2013-06-22,Hey! Where Are We Going??? #2,
336,2013-06-29,Minority Report #3,
337,2013-07-06,We Need To Be Funny To Survive!,
338,2013-07-13,Black versus White,
339,2013-07-20,You're Definitely A Man,
340,2013-07-27,The Famous 7 Princess,
341,2013-08-03,Summer Variety Show Camp #1,
342,2013-08-10,Summer Variety Show Camp #2,
343,2013-08-17,Please Take Care Of Infinite Challenge #1,
344,2013-08-24,Please Take Care Of Infinite Challenge #2,
345,2013-08-31,Please Take Care Of Infinite Challenge #3,EXO
345,2013-08-31,Infinite Challenge Cheerleader Team #1,
346,2013-09-07,Infinite Challenge Night Club,"BoA, G-Dragon, Kim C, You Hee-yeol, Primary, Rose Motel, Kiha & The Faces"
347,2013-09-14,Runaway with the Money Bag 2 - The Attack of the 100 Baldies #1,
348,2013-09-21,Runaway with the Money Bag 2 - The Attack of the 100 Baldies #2,
